,"1 Place des Carmes, Avignon, France","1 Place du Palais, Avignon, France","1 Square Dagmar Silhol, Avignon, France","1 rue de l'Hôpital, Avignon, France","1 rue henri fabre, Avignon, France","10 bis, Place de l'Amirande, Avignon, France","10 bis, rue Peyrolerie, Avignon, France","10 chemin de la Barthelasse, Avignon, France","10 place Saint Marc, Avignon, France","101 Rue de la Bonneterie, Avignon, France","11 rue de Taulignan, Avignon, 84000","11, Rue de l'Hôpital, Avignon, France","110 chemin des Bois, Avignon, France","12, place Crillon, Avignon, France","129 rue de la Frache, Avignon, France","13 Chemin du Polygone, Avignon, France","13 Place Jean Jaurès, Avignon, France","13 Place de l'Horloge, Avignon, France","13, rue Banasterie, Avignon, 84000","130, Chemin du Pont Blanc, Avignon, France","14 Place Saint Didier, Avignon, France","15 rue Laurent Bertrand, Avignon, France","15 rue de la République, Avignon, France","162, Chemin des Canotiers, Avignon, France","17 rue Racine, Avignon, France","1715, chemin du Lavarin, Avignon, France","18 Boulevard Limbert, Avignon, France","18ter, Rue Pétramale, Avignon, France","2 Rue Mère Térésa, Avignon, France","2 bis rue Laboureur, Avignon, 84000","2 place Jérusalem, Avignon, 84000","20 boulevard Saint Roch, Avignon, France","20, rue Carreterie, Avignon, 84000","20, rue Saint-Etienne, Avignon, France","203 avenue de la Rétanque, Avignon, France","21, place des Corps Saints, Avignon, France","229 rue Graham Bell, Avignon, France","23, Rue de la Bancasse, Avignon, France","24 Rue de la Bonneterie, Avignon, France","24 place de l'Horloge, Avignon, France","25, allée Antoine Pinay, Avignon, France","25-27, place des Corps Saints, Avignon, France","26, rue des Trois Faucons, Avignon, France","27 rue de la République, Avignon, 84000","276 rue du Jas, Avignon, France","28 rue de la bonneterie, Avignon, France","29 place de la Poste, Avignon, France","29 rue Théodore Aubanel, Avignon, France","2968, Avenue de l'Amandier, Avignon, France","3 place Saint-Marc, Avignon, France","3 rue de la République, Villeneuve-lez-Avignon, 30400","3, Place Saint-Marc, Avignon, France","311 chemin des Petits Rougiers, Avignon, France","32 rue Joseph Vernet, Avignon, 84000","322 avenue de Saint Tronquet, Avignon, France","34, rue des Trois Faucons, Avignon, France","34- 36  Place des Corps Saints, Avignon, France","35 rue notre dame, Avignon, France","361 allée Louis Montagnat, Avignon, France","37 rue Camp de Bataille, Avignon, France","37 rue de la Saraillerie, Avignon, France","3B rue de la Petite Calade, Avignon, France","4 Place Jean Jaurès, Avignon, France","4 Place de l'Amirande, Avignon, France","4 place de l'Amirande, Avignon, France","4, Place de la Principale, Avignon, France","4, place de l'Amirande, Avignon, France","41 – 43 rue Carnot, Avignon, France","43 rue de la république, Avignon, France","450 allée de Cassagne, Avignon, France","49 rue porte de Jonquerettes, Avignon, France","5 Rue Cabassole, Avignon, France","5 place Jean Jaurès, Avignon, France","5 rue Violette, Avignon, France","5 rue Violette, Avignon, 84000","5 rue de la république, Avignon, France","5, rue Laboureur, Avignon, 84000","5, rue de la République, Avignon, France","5, rue du Vieux Moulin, Avignon, France","51 avenue du Mont-Ventoux, Avignon, France","53 rue de la République, Villeneuve-lez-Avignon, 30400","57 rue Banasterie, Avignon, 84000","58 rue de la République, Villeneuve-lez-Avignon, 30400","6, rue Saluces, Avignon, 84000","62 Place des Corps Saints, Avignon, France","62 place du Petit Pont, Avignon, France","641 avenue de Saint Tronquet, Avignon, France","641 avenue de Saint-Tronquet, Avignon, France","65 rue Joseph Vernet, Avignon, 84000","67 rue Joseph Vernet, Avignon, 84000","68, place des Corps Saints, Avignon, France","69 avenue du General de Gaulle, Avignon, France","7 Place Saint-Marc, Avignon, France","7 place du Chapitre, Avignon, France","7, impasse du Pont, Avignon, France","719 route de Carpentras, Avignon, France","72, place des Corps Saints, Avignon, France","74 Place des Corps Saints, Avignon, France","74 rue de la République, Avignon, France","76 rue Daniel Lavorini, Avignon, France","8 impasse du lavoir, Avignon, France","8 rue de Mons, Avignon, 84000","8, RUE MAZAN, Avignon, France","9 rue de la République, Avignon, France","9, place Crillon, Avignon, 84000","Avenue Pierre de Coubertin, Le Pontet, 84130, Avignon, France","Avenue Pierre de Coubertin, Vedène, 84270, Avignon, France","Avenue du Blanchissage, Avignon, 84000","Avignon, 84000","Centre Commercial Buld'Air, Avignon, France","Chemin de la Banastière, Avignon, France","Montfavet, Avignon, 84000","Montée de la Tour, Villeneuve-lez-Avignon, 30400","Palais des papes, Avignon, 84000","Place Meissonnier, Villeneuve-lez-Avignon, 30400","Place Saint Didier, Avignon, 84000","Place de l'Église, Caumont-sur-Durance, 84510, Avignon, France","Place de l'église, Caumont-sur-Durance, 84510, Avignon, France","Place de l'église, Entraigues-sur-la-Sorgue, 84320, Avignon, France","Place de l'église, Vedène, 84270, Avignon, France","Place des Carmes, Avignon, 84000","Place des Corps Saints, Avignon, 84000","Place du Palais, Avignon, 84000","Place du Petit Pont, Vedène, 84270, Avignon, France","RD 6580, Avignon, France","Rue de la Dévalade, Caumont-sur-Durance, 84510, Avignon, France","Rue des Teinturiers, Avignon, 84000","Rue du Portail Boquier, Avignon, 84000","avenue Moulin de Notre-Dame, Avignon, 84000","boulevard Gambetta, Avignon, 84000","rue René Goscinny, Avignon, 84000","rue Vice-légat, Avignon, 84000"
"2 place Jérusalem, Avignon, 84000",365,347,1810,17664,444,198,208,1024,1874,339,170,17664,3363,510,17680,3156,7772,263,172,7167,252,11379,256,750,372,2903,722,343,2975,334,0,833,389,433,9969,454,6350,230,96,235,884,501,348,377,1080,96,17808,7722,3725,1905,2167,1905,6040,441,6339,376,501,8371,7370,2623,201,442,12522,192,192,158,192,119,549,5457,9785,1746,12522,575,575,236,315,236,1386,10458,2167,481,2189,224,466,8552,6117,6117,478,489,505,11581,1905,1925,1491,5087,519,526,2278,11273,11196,176,454,7734,510,4415,8597,1019,251,7326,6884,5515,1433,255,1891,252,12494,12494,11176,8190,397,501,352,8552,5768,12511,624,608,2012,1399,2811,206
"20 boulevard Saint Roch, Avignon, France",1179,1063,2299,18234,405,915,895,1519,2301,847,932,18234,4179,824,18252,3664,8262,719,957,7944,583,12177,625,1541,853,2239,1226,631,2143,499,833,0,1197,873,10575,482,7148,627,744,815,1156,452,523,456,1098,750,18381,8188,3793,2331,2604,2331,6841,663,7140,502,452,9126,8016,2888,631,567,12690,919,919,690,919,947,320,6148,10387,2174,12690,261,261,690,526,690,1660,11031,2604,1273,2663,1057,458,9302,6918,6918,471,443,436,11769,2331,2327,1536,5855,429,428,2728,12070,11996,797,794,8224,824,5038,9352,218,773,8097,7577,5861,1749,980,2305,583,12673,12673,11973,8940,1222,452,1007,9302,5709,12694,1046,259,1616,851,2627,950
"20, rue Carreterie, Avignon, 84000",31,485,1848,17305,793,458,485,1133,1947,439,409,17305,3068,831,17320,3136,7441,631,378,6778,617,10994,645,595,675,3130,563,604,3337,701,389,1197,0,729,9602,753,5964,619,461,565,1134,799,678,745,1122,452,17448,7400,3586,1977,2220,1977,5655,808,5954,702,799,7982,6996,2752,579,825,12303,447,447,547,447,270,889,5075,9420,1495,12303,947,947,616,671,616,1573,10100,2220,411,2219,210,773,8163,5732,5732,867,879,809,11355,1977,2009,1760,4698,822,827,2318,10888,10811,526,783,7403,831,4051,8208,1364,599,6936,6502,5241,1597,455,1970,617,12270,12270,10790,7801,76,799,551,8163,5991,12286,573,952,2141,1631,2810,429
"20, rue Saint-Etienne, Avignon, France",698,294,1478,18030,626,273,248,678,1514,761,322,18030,3363,109,18045,2845,8169,222,351,7406,494,11582,333,747,60,3094,1154,687,2918,516,433,873,729,0,10324,720,6560,367,462,198,453,757,607,535,1469,474,18173,8126,4150,1545,1815,1545,6246,213,6543,630,757,8632,7710,2220,443,306,12955,283,283,373,283,501,717,5775,10142,2173,12955,638,638,272,540,272,969,10826,1815,523,1854,519,718,8816,6321,6321,402,430,752,12014,1545,1556,1059,5342,763,771,1933,11478,11394,259,90,8131,109,4775,8858,1090,195,7570,7198,5940,1027,278,1526,494,12927,12927,11379,8456,695,757,211,8816,5335,12944,1053,751,2320,1628,3191,299
"203 avenue de la Rétanque, Avignon, France",9632,10045,10697,7724,10227,10059,10087,10452,10881,9775,10011,7724,8673,10430,7737,11116,2820,10228,9979,4315,10125,5232,10217,9757,10274,11000,9358,9982,12326,10196,9969,10575,9602,10324,0,10111,5189,10182,10008,10168,10664,10132,10116,10231,9588,9996,7864,3072,7899,10895,10973,10895,5414,10407,5277,10125,10132,3347,2656,11668,10115,10409,7257,10049,10049,10116,10049,9861,10274,4644,206,8424,7257,10406,10406,10205,10151,10205,10935,757,10973,9853,10874,9811,10135,3200,5394,5394,10428,10432,10148,6503,10895,10961,11260,5486,10153,10152,10980,5153,5279,10126,10385,2846,10430,5553,3289,10627,10201,4137,3358,5447,10900,10045,10920,10125,7100,7100,5130,3299,9629,10132,10125,3200,14984,7064,9534,10328,9982,10324,9205,10028
"21, place des Corps Saints, Avignon, France",742,776,2193,17780,136,613,606,1393,2234,366,606,17780,3803,735,17797,3556,7828,500,618,7464,234,11701,386,1204,671,2450,752,154,2594,207,454,482,753,720,10111,0,6673,355,358,564,1139,47,116,203,792,357,17926,7762,3521,2265,2535,2265,6368,578,6667,90,47,8643,7542,2926,294,499,12387,612,612,374,612,542,165,5667,9923,1739,12387,302,302,451,180,451,1670,10575,2535,935,2571,660,24,8819,6445,6445,441,425,55,11456,2265,2276,1668,5374,68,74,2652,11595,11522,516,681,7790,735,4566,8869,617,540,7616,7096,5474,1737,681,2246,234,12365,12365,11497,8457,794,47,752,8819,5938,12384,577,224,1602,949,2484,637
"229 rue Graham Bell, Avignon, France",5985,6267,6357,12568,6744,6351,6379,6406,6541,6308,6314,12568,3877,6669,12570,6373,4853,6560,6282,983,6579,5029,6601,5839,6531,8518,6002,6520,9251,6663,6350,7148,5964,6560,5189,6673,0,6579,6425,6472,6749,6712,6625,6707,6505,6416,12690,5066,6404,6546,6535,6546,320,6719,94,6645,6712,2292,2950,7193,6543,6763,11114,6343,6343,6508,6343,6230,6829,2088,5091,5462,11114,6908,6908,6559,6630,6559,6827,5915,6535,6037,6414,6137,6697,2496,255,255,6821,6836,6726,10170,6546,6615,7230,1429,6736,6739,6503,4923,4848,6454,6644,4830,6669,3161,2497,7287,6515,1179,2117,5204,6758,6309,6580,6579,11001,11001,4825,2183,5954,6712,6350,2496,10281,10985,6181,6892,7334,7294,7092,6314
"23, Rue de la Bancasse, Avignon, France",595,450,1838,17872,281,292,276,1037,1880,451,305,17872,3552,397,17889,3201,7964,145,330,7397,127,11609,42,917,316,2775,878,327,2761,160,230,627,619,367,10182,355,6579,0,173,214,802,395,241,193,1109,186,18017,7909,3813,1911,2180,1911,6269,267,6568,264,395,8601,7588,2583,85,232,12646,295,295,71,295,349,384,5680,9997,1908,12646,365,365,95,175,95,1329,10666,2180,647,2215,445,356,8781,6346,6346,250,260,391,11710,1911,1922,1370,5317,404,412,2296,11503,11425,177,340,7926,397,4628,8827,827,185,7556,7108,5675,1391,359,1892,127,12621,12621,11405,8420,625,395,410,8781,5654,12639,744,433,1958,1287,2826,325
"24 Rue de la Bonneterie, Avignon, France",440,429,1882,17699,349,270,272,1090,1939,301,253,17699,3458,523,17715,3233,7793,260,262,7237,160,11455,210,846,402,2808,716,257,2887,244,96,744,461,462,10008,358,6425,173,0,267,915,405,252,288,1017,13,17843,7740,3688,1971,2235,1971,6116,424,6415,280,405,8437,7415,2675,118,404,12503,267,267,111,267,202,454,5509,9823,1746,12503,489,489,218,221,218,1429,10492,2235,576,2261,315,370,8616,6193,6193,422,429,409,11564,1971,1988,1508,5155,423,430,2348,11349,11272,206,465,7755,523,4455,8663,926,267,7394,6937,5514,1482,334,1955,160,12477,12477,11251,8255,478,405,421,8616,5790,12494,596,513,1929,1305,2747,287
"24 place de l'Horloge, Avignon, France",535,248,1632,17869,495,120,93,834,1681,564,161,17869,3368,278,17885,2992,7992,97,194,7305,330,11499,198,729,137,2989,957,507,2924,375,235,815,565,198,10168,564,6472,214,267,0,651,606,448,406,1282,278,18013,7945,3953,1712,1979,1712,6160,249,6458,474,606,8521,7561,2408,271,294,12757,129,129,193,129,315,598,5636,9985,1979,12757,558,558,127,387,127,1162,10663,1979,468,2010,358,567,8704,6235,6235,369,392,604,11817,1712,1727,1256,5233,617,625,2094,11394,11313,61,224,7954,278,4616,8747,1024,44,7466,7061,5748,1215,171,1695,330,12729,12729,11295,8343,544,606,197,8704,5533,12746,855,643,2165,1502,3010,158
"25, allée Antoine Pinay, Avignon, France",1102,650,1150,18380,1025,707,686,431,1145,1215,753,18380,3360,405,18395,2509,8562,665,777,7622,929,11753,763,930,514,3391,1602,1130,2987,931,884,1156,1134,453,10664,1139,6749,802,915,651,0,1169,1034,939,1911,927,18522,8527,4604,1175,1448,1175,6431,562,6726,1052,1169,8869,8036,1787,884,651,13405,716,716,821,716,941,1097,6082,10486,2612,13405,978,978,714,965,714,531,11182,1448,813,1508,932,1132,9057,6505,6505,734,760,1160,12462,1175,1172,625,5583,1170,1178,1572,11649,11559,712,462,8524,405,5130,9094,1368,647,7791,7496,6372,604,686,1149,929,13375,13375,11550,8699,1084,1169,584,9057,4884,13392,1507,1115,2712,1983,3623,723
"25-27, place des Corps Saints, Avignon, France",788,821,2232,17798,149,658,651,1432,2271,403,653,17798,3851,767,17816,3596,7841,539,665,7500,277,11739,424,1251,709,2403,776,197,2552,241,501,452,799,757,10132,47,6712,395,405,606,1169,0,160,229,776,404,17944,7773,3508,2302,2572,2302,6407,606,6706,132,0,8677,7567,2956,338,524,12378,657,657,418,657,589,144,5696,9944,1750,12378,295,295,490,219,490,1700,10593,2572,982,2610,708,39,8853,6484,6484,459,441,16,11449,2302,2312,1688,5410,24,28,2690,11632,11561,559,714,7803,767,4590,8903,576,580,7652,7125,5478,1769,726,2282,277,12357,12357,11535,8490,840,0,796,8853,5952,12376,597,196,1563,903,2457,683
"26, rue des Trois Faucons, Avignon, France",663,661,2078,17793,119,498,491,1278,2121,342,494,17793,3708,628,17810,3440,7855,386,508,7424,118,11654,274,1097,557,2561,762,136,2659,108,348,523,678,607,10116,116,6625,241,252,448,1034,160,0,124,883,253,17938,7793,3605,2152,2421,2152,6318,478,6617,28,160,8611,7539,2819,178,407,12459,498,498,258,498,446,210,5652,9929,1772,12459,295,295,336,68,336,1563,10587,2421,827,2456,563,121,8789,6395,6395,365,354,160,11526,2152,2163,1578,5337,174,182,2538,11547,11473,399,573,7817,628,4567,8837,686,425,7578,7082,5524,1629,566,2133,118,12435,12435,11450,8427,710,160,636,8789,5855,12454,599,273,1718,1063,2590,523
"27 rue de la République, Avignon, 84000",727,642,2013,17911,91,483,469,1213,2047,456,491,17911,3734,538,17928,3379,7977,325,512,7513,128,11737,210,1104,492,2583,882,260,2599,44,377,456,745,535,10231,203,6707,193,288,406,939,229,124,0,994,295,18056,7916,3721,2078,2349,2078,6399,377,6697,128,229,8706,7651,2726,176,296,12580,485,485,242,485,491,191,5759,10045,1896,12580,201,201,280,81,280,1470,10705,2349,833,2389,601,193,8885,6475,6475,243,231,221,11648,2078,2086,1466,5428,231,239,2467,11630,11555,370,487,7939,538,4681,8932,644,373,7669,7188,5648,1540,551,2057,128,12557,12557,11533,8523,767,229,603,8885,5738,12576,722,241,1786,1099,2686,514
"276 rue du Jas, Avignon, France",1134,1421,2888,17209,925,1278,1285,2104,2954,752,1249,17209,4073,1506,17229,4222,7205,1249,1243,7226,983,11502,1148,1712,1412,2137,642,782,2815,990,1080,1098,1122,1469,9588,792,6505,1109,1017,1282,1911,776,883,994,0,1007,17357,7120,2732,2985,3247,2985,6214,1361,6510,869,776,8346,7076,3689,1027,1289,11610,1272,1272,1095,1272,1090,897,5281,9395,1171,11610,1055,1055,1198,952,1198,2437,10017,3247,1486,3267,1180,806,8513,6293,6293,1234,1217,789,10684,2985,3004,2460,5139,784,778,3357,11393,11333,1222,1449,7168,1506,4099,8571,1075,1274,7366,6699,4767,2496,1334,2971,983,11590,11590,11298,8151,1196,776,1432,8513,6729,11610,552,920,1042,794,1731,1285
"28 rue de la bonneterie, Avignon, France",432,435,1890,17686,353,277,280,1099,1949,289,259,17686,3456,536,17702,3240,7780,273,265,7228,166,11446,223,846,414,2806,703,251,2893,251,96,750,452,474,9996,357,6416,186,13,278,927,404,253,295,1007,0,17831,7727,3676,1980,2244,1980,6108,438,6406,281,404,8426,7403,2686,127,417,12490,273,273,124,273,197,457,5497,9811,1732,12490,496,496,231,226,231,1441,10479,2244,577,2269,312,369,8606,6184,6184,433,440,409,11551,1980,1997,1521,5145,422,430,2356,11340,11263,217,478,7742,536,4442,8653,930,280,7385,6926,5501,1493,340,1964,166,12464,12464,11242,8244,472,404,429,8606,5803,12481,583,517,1923,1303,2737,293
"29 place de la Poste, Avignon, France",17478,17898,18555,161,18046,17906,17934,18316,18739,17600,17858,161,16429,18278,129,18911,10198,18069,17826,11717,17954,9788,18053,17619,18123,18558,17177,17803,20015,18022,17808,18381,17448,18173,7864,17926,12690,18017,17843,18013,18522,17944,17938,18056,17357,17831,0,10334,15353,18753,18824,18753,12969,18249,12764,17946,17944,10453,10515,19518,17947,18247,9933,17896,17896,17952,17896,17703,18088,12502,8038,16211,9933,18225,18225,18044,17977,18044,18799,7351,18824,17710,18722,17658,17950,10251,12929,12929,18260,18263,17960,9961,18753,18819,19122,13272,17965,17963,18827,9803,10000,17969,18232,10235,18278,13398,10280,18416,18045,11520,11162,12848,18765,17895,18778,17954,9771,9771,9867,10524,17478,17944,17977,10251,22807,9709,17348,18139,17637,18061,16749,17876
"29 rue Théodore Aubanel, Avignon, France",7431,7878,8835,10181,7891,7852,7878,8409,9004,7468,7803,10181,7396,8222,10205,9569,299,7986,7774,4645,7828,7527,7949,7697,8069,8224,7037,7656,9695,7887,7722,8188,7400,8126,3072,7762,5066,7909,7740,7945,8527,7773,7793,7916,7120,7727,10334,0,5029,9024,9164,9024,5124,8162,5158,7796,7773,4512,2310,9844,7832,8142,6059,7842,7842,7852,7842,7630,7917,3381,2868,6023,6059,8064,8064,7953,7840,7953,8895,3189,9164,7724,9090,7608,7785,4502,5149,5149,8139,8137,7789,5107,9024,9083,9150,4512,7791,7789,9202,7427,7495,7894,8170,295,8222,3578,4617,8195,7971,4563,3017,2520,8885,7855,9040,7828,5952,5952,7372,4331,7444,7773,7950,4502,13220,5940,7194,7961,7314,7779,6415,7827
"2968, Avenue de l'Amandier, Avignon, France",3613,4025,5427,15199,3656,3916,3931,4712,5533,3389,3875,15199,5622,4207,15224,6646,5196,3942,3858,6802,3692,10964,3854,4134,4090,3214,3035,3488,4793,3713,3725,3793,3586,4150,7899,3521,6404,3813,3688,3953,4604,3508,3605,3721,2732,3676,15353,5029,0,5563,5801,5563,6196,4076,6447,3593,3508,7610,5766,6332,3728,4012,8901,3907,3907,3785,3907,3690,3629,4533,7694,2194,8901,3786,3786,3894,3671,3894,5111,8171,5801,3997,5790,3738,3537,7730,6270,6270,3963,3947,3521,7989,5563,5595,5182,4998,3517,3510,5894,10853,10840,3892,4148,5161,4207,3275,7816,3709,3956,6879,5708,2509,5154,3955,5557,3692,8888,8888,10769,7394,3659,3508,4062,7730,9460,8910,3101,3647,2465,3117,1427,3910
"3 place Saint-Marc, Avignon, France",1951,1568,197,18616,2168,1706,1700,881,31,2239,1737,18616,2799,1545,18627,1341,9023,1765,1745,7481,2036,11441,1879,1448,1594,4563,2535,2219,4002,2061,1905,2331,1977,1545,10895,2265,6546,1911,1971,1712,1175,2302,2152,2078,2985,1980,18753,9024,5563,0,273,0,6226,1713,6507,2175,2302,8774,8239,825,1981,1809,14202,1712,1712,1905,1712,1906,2253,6251,10729,3429,14202,2146,2146,1815,2086,1815,706,11467,273,1565,346,1838,2263,8971,6292,6292,1899,1926,2297,13244,0,69,1056,5560,2308,2316,397,11341,11234,1770,1592,8986,1545,5491,8993,2543,1729,7664,7609,7061,602,1652,41,2036,14162,14162,11241,8623,1903,2302,1553,8971,4195,14174,2498,2277,3864,3153,4716,1701
"3 rue de la République, Villeneuve-lez-Avignon, 30400",2195,1827,373,18688,2439,1969,1964,1146,303,2498,1998,18688,2733,1817,18698,1072,9155,2035,2005,7482,2305,11391,2148,1671,1864,4836,2781,2486,4247,2331,2167,2604,2220,1815,10973,2535,6535,2180,2235,1979,1448,2572,2421,2349,3247,2244,18824,9164,5801,273,0,273,6216,1986,6493,2444,2572,8781,8317,695,2249,2082,14400,1975,1975,2172,1975,2164,2525,6329,10810,3651,14400,2419,2419,2084,2355,2084,971,11556,0,1809,130,2091,2534,8980,6281,6281,2172,2199,2567,13439,273,284,1292,5597,2578,2587,126,11294,11183,2036,1864,9118,1817,5614,8999,2816,1997,7667,7669,7245,870,1913,300,2305,14357,14357,11193,8636,2145,2572,1815,8980,4061,14369,2752,2550,4135,3426,4978,1962
"3, Place Saint-Marc, Avignon, France",1951,1568,197,18616,2168,1706,1700,881,31,2239,1737,18616,2799,1545,18627,1341,9023,1765,1745,7481,2036,11441,1879,1448,1594,4563,2535,2219,4002,2061,1905,2331,1977,1545,10895,2265,6546,1911,1971,1712,1175,2302,2152,2078,2985,1980,18753,9024,5563,0,273,0,6226,1713,6507,2175,2302,8774,8239,825,1981,1809,14202,1712,1712,1905,1712,1906,2253,6251,10729,3429,14202,2146,2146,1815,2086,1815,706,11467,273,1565,346,1838,2263,8971,6292,6292,1899,1926,2297,13244,0,69,1056,5560,2308,2316,397,11341,11234,1770,1592,8986,1545,5491,8993,2543,1729,7664,7609,7061,602,1652,41,2036,14162,14162,11241,8623,1903,2302,1553,8971,4195,14174,2498,2277,3864,3153,4716,1701
"311 chemin des Petits Rougiers, Avignon, France",5676,5954,6037,12846,6437,6039,6067,6088,6221,6003,6002,12846,3565,6354,12848,6063,4925,6248,5970,1286,6271,5339,6290,5523,6217,8240,5702,6215,8950,6355,6040,6841,5655,6246,5414,6368,320,6269,6116,6160,6431,6407,6318,6399,6214,6108,12969,5124,6196,6226,6216,6226,0,6406,298,6339,6407,2598,3087,6875,6234,6451,11182,6031,6031,6198,6031,5921,6523,2002,5309,5184,11182,6600,6600,6248,6322,6248,6507,6131,6216,5722,6096,5826,6392,2801,79,79,6510,6525,6421,10231,6226,6295,6910,1198,6431,6434,6184,5233,5155,6143,6330,4900,6354,2985,2806,6983,6203,1480,2246,5105,6438,5997,6260,6271,11073,11073,5135,2480,5644,6407,6036,2801,9974,11060,5881,6586,7056,7000,6841,6002
"32 rue Joseph Vernet, Avignon, 84000",780,463,1661,18104,462,369,341,867,1683,717,411,18104,3569,169,18121,3029,8213,179,444,7554,383,11745,225,940,207,2892,1140,587,2712,372,441,663,808,213,10407,578,6719,267,424,249,562,606,478,377,1361,438,18249,8162,4076,1713,1986,1713,6406,0,6704,494,606,8771,7804,2349,352,97,12914,378,378,313,378,546,539,5883,10224,2170,12914,438,438,208,409,208,1093,10899,1986,696,2033,605,570,8953,6482,6482,194,222,598,11978,1713,1718,1105,5482,607,616,2106,11640,11558,282,131,8175,169,4854,8997,881,210,7716,7309,5939,1164,410,1691,383,12889,12889,11541,8593,793,606,388,8953,5387,12907,1012,564,2154,1442,3063,406
"322 avenue de Saint Tronquet, Avignon, France",5975,6251,6319,12643,6735,6337,6365,6380,6503,6302,6300,12643,3825,6651,12644,6318,4946,6546,6268,1050,6569,5041,6588,5819,6515,8531,6000,6513,9248,6654,6339,7140,5954,6543,5277,6667,94,6568,6415,6458,6726,6706,6617,6697,6510,6406,12764,5158,6447,6507,6493,6507,298,6704,0,6637,6706,2354,3044,7148,6533,6749,11207,6329,6329,6496,6329,6219,6822,2160,5180,5475,11207,6899,6899,6546,6620,6546,6798,6004,6493,6020,6372,6125,6690,2558,222,222,6808,6824,6719,10263,6507,6577,7202,1461,6730,6733,6459,4935,4857,6441,6627,4923,6651,3213,2556,7281,6501,1247,2211,5275,6728,6294,6542,6569,11094,11094,4837,2250,5942,6706,6333,2558,10224,11079,6179,6885,7347,7297,7118,6300
"34, rue des Trois Faucons, Avignon, France",688,689,2102,17800,102,526,518,1302,2144,355,522,17800,3736,648,17818,3465,7859,409,536,7443,144,11674,296,1125,580,2533,769,142,2635,121,376,502,702,630,10125,90,6645,264,280,474,1052,132,28,128,869,281,17946,7796,3593,2175,2444,2175,6339,494,6637,0,132,8628,7550,2839,205,420,12451,525,525,285,525,473,186,5666,9939,1774,12451,282,282,360,89,360,1583,10595,2444,855,2480,590,94,8806,6416,6416,372,359,133,11519,2175,2186,1591,5355,146,154,2561,11568,11494,426,593,7821,648,4577,8855,661,449,7597,7095,5522,1649,594,2156,144,12428,12428,11470,8444,736,132,663,8806,5866,12447,602,249,1693,1035,2571,551
"34- 36  Place des Corps Saints, Avignon, France",788,821,2232,17798,149,658,651,1432,2271,403,653,17798,3851,767,17816,3596,7841,539,665,7500,277,11739,424,1251,709,2403,776,197,2552,241,501,452,799,757,10132,47,6712,395,405,606,1169,0,160,229,776,404,17944,7773,3508,2302,2572,2302,6407,606,6706,132,0,8677,7567,2956,338,524,12378,657,657,418,657,589,144,5696,9944,1750,12378,295,295,490,219,490,1700,10593,2572,982,2610,708,39,8853,6484,6484,459,441,16,11449,2302,2312,1688,5410,24,28,2690,11632,11561,559,714,7803,767,4590,8903,576,580,7652,7125,5478,1769,726,2282,277,12357,12357,11535,8490,840,0,796,8853,5952,12376,597,196,1563,903,2457,683
"35 rue notre dame, Avignon, France",8007,8338,8581,10336,8730,8401,8430,8558,8767,8278,8359,10336,6161,8742,10334,8661,4226,8602,8327,1312,8582,3363,8627,7942,8596,10201,7924,8494,11155,8664,8371,9126,7982,8632,3347,8643,2292,8601,8437,8521,8869,8677,8611,8706,8346,8426,10453,4512,7610,8774,8781,8774,2598,8771,2354,8628,8677,0,2262,9450,8554,8803,10170,8392,8392,8529,8392,8253,8805,3141,3316,7215,10170,8904,8904,8594,8626,8594,9001,4104,8781,8113,8664,8171,8667,204,2544,2544,8849,8861,8691,9301,8774,8843,9389,3289,8700,8702,8756,3252,3256,8495,8710,4221,8742,4427,226,9239,8562,1119,1932,5736,8940,8367,8806,8582,10032,10032,3172,217,7984,8677,8421,204,12572,10006,8108,8867,9043,9140,8587,8365
"361 allée Louis Montagnat, Avignon, France",7025,7427,8042,10377,7653,7449,7478,7810,8225,7196,7403,10377,6062,7817,10389,8478,2044,7626,7370,2370,7539,5495,7622,7121,7663,8670,6790,7408,9865,7613,7370,8016,6996,7710,2656,7542,2950,7588,7415,7561,8036,7567,7539,7651,7076,7403,10515,2310,5766,8239,8317,8239,3087,7804,3044,7550,7567,2262,0,9012,7525,7812,8237,7439,7439,7521,7439,7259,7707,1988,2495,5905,8237,7832,7832,7606,7570,7606,8291,3265,8317,7228,8218,7203,7567,2290,3091,3091,7837,7843,7583,7316,8239,8305,8625,2885,7589,7589,8324,5388,5424,7522,7774,2032,7817,2981,2401,8084,7596,2270,840,3609,8254,7432,8264,7539,8115,8115,5320,2064,7019,7567,7508,2290,12332,8096,6970,7763,7581,7840,6931,7417
"37 rue Camp de Bataille, Avignon, France",2724,2308,1010,19382,2811,2427,2415,1620,849,2962,2465,19382,3352,2190,19392,1210,9839,2441,2478,8147,2711,12006,2546,2257,2277,5050,3297,2908,4223,2718,2623,2888,2752,2220,11668,2926,7193,2583,2675,2408,1787,2956,2819,2726,3689,2686,19518,9844,6332,825,695,825,6875,2349,7148,2839,2956,9450,9012,0,2663,2436,15018,2434,2434,2593,2434,2645,2880,7024,11505,4228,15018,2750,2750,2492,2750,2492,1256,12252,695,2344,796,2593,2919,9650,6938,6938,2514,2538,2947,14062,825,773,1381,6284,2957,2965,696,11910,11794,2469,2246,9802,2190,6302,9666,3082,2415,8334,8361,7885,1193,2382,816,2711,14979,14979,11809,9308,2681,2956,2276,9650,3376,14993,3239,2892,4487,3737,5409,2429
